Strategy,Symbol,Timeframe,Trades,Win_Rate,PnL_Pct,Profit_Factor,Max_Drawdown,Sharpe_Ratio,Avg_Win,Avg_Loss,Max_Consec_Wins,Max_Consec_Losses,Score
HMA+ST+WT+MACD,GBPUSD,M15,351,41.6,-4.52,1.0,27.4,0.02,1.91,-1.36,6,9,8.32
ST+EMA200+HMA,BTCUSD,H4,266,42.11,-4.11,1.0,32.5,0.0,1.94,-1.41,6,8,8.05
HMA21+ST+WT+MACD,GBPUSD,M15,360,40.28,-3.15,1.01,31.48,0.07,2.02,-1.35,7,9,8.04
MACD+ST+HMA+WT,BTCUSD,H4,193,40.93,-4.43,1.0,28.78,-0.03,2.15,-1.5,5,10,7.99
ST3.0+HMA+WT+MACD,GBPUSD,H4,86,39.53,-5.92,0.94,17.04,-0.41,2.19,-1.52,7,8,7.98
HMA+ST+WT+MACD,US30,M15,70,37.14,-5.17,0.93,12.24,-0.55,2.02,-1.29,3,5,7.95
HMA21+ST+WT+MACD,BTCUSD,H1,1021,43.1,-0.38,1.02,51.16,0.14,1.85,-1.38,8,12,7.68
HMA+ST+MACD,US30,M15,102,37.25,-5.57,0.95,16.1,-0.34,2.14,-1.33,4,6,7.68
MACD+ST+HMA,BTCUSD,H1,888,42.68,-3.69,1.01,40.28,0.1,1.82,-1.34,8,11,7.64
ST+ALL_conservative,USDJPY,H1,667,39.13,-2.52,1.01,34.89,0.09,1.74,-1.11,6,9,7.63
HMA21+ST+WT+MACD,EURUSD,M15,368,39.67,-3.21,1.01,34.43,0.06,1.99,-1.3,4,12,7.57
HMA21+ST+WT+MACD,US30,M15,87,39.08,-4.77,0.95,24.23,-0.36,2.04,-1.37,5,13,7.55
ST1.5+HMA+WT+MACD,USDJPY,H1,778,41.0,-3.2,1.01,39.78,0.09,1.86,-1.27,6,9,7.41
WT+EMA200+MACD,USDJPY,H1,732,42.21,-3.79,1.01,41.62,0.09,1.9,-1.37,7,10,7.35
HMA+UT+WT,US30,M15,70,35.71,-5.37,0.93,14.75,-0.54,2.18,-1.31,3,5,7.29
MACD+ST+HMA,US30,M15,70,38.57,-6.09,0.91,18.22,-0.7,1.9,-1.31,4,9,7.28
WT+EMA200+MACD,GBPUSD,H4,202,38.61,-7.36,0.97,19.97,-0.19,2.1,-1.36,5,8,7.25
ST+HMA+WT+MACD_default,BTCUSD,H4,257,42.02,-6.25,0.99,33.92,-0.08,1.92,-1.41,6,8,7.15
ST+HMA+WT_only,BTCUSD,H4,257,42.02,-6.25,0.99,33.92,-0.08,1.92,-1.41,6,8,7.15
MACD+UT+WT,BTCUSD,H4,196,40.82,-5.63,0.99,33.74,-0.08,2.16,-1.51,5,7,7.06
ST1.5+HMA+WT+MACD,GBPUSD,M15,480,41.04,-7.43,1.0,29.75,-0.02,1.86,-1.3,6,11,7.04
HMA+UT+WT,GBPUSD,M15,367,41.69,-6.6,1.0,34.9,-0.03,1.89,-1.36,6,10,6.92
UT+HMA+WT+MACD_default,BTCUSD,H4,252,42.06,-6.12,0.99,40.74,-0.08,1.92,-1.41,6,8,6.52
MACD+ST+HMA,BTCUSD,H4,199,40.2,-7.78,0.98,30.84,-0.17,2.17,-1.49,5,7,6.45
ST1.5+HMA+WT+MACD,GBPUSD,H4,211,39.81,-8.94,0.96,26.44,-0.27,1.95,-1.34,5,9,6.36
UT+EMA200+MACD,BTCUSD,H4,273,41.76,-6.48,0.99,41.01,-0.07,1.95,-1.41,6,8,6.32
ST2.0+HMA+WT+MACD,US30,M15,74,37.84,-8.41,0.89,19.39,-0.87,2.09,-1.43,4,10,6.11
UT+ALL_conservative,US30,H1,195,36.41,-6.97,0.97,28.4,-0.22,1.92,-1.13,3,6,5.95
